V1,V2,V3
-0.092169997,-0.002959997,-1.1041164
-0.015342551,0.000350357,-0.419798333
-0.015427529,0.650680178,-0.26330336
-0.406022282,-0.11448555,0.156752442
-0.241748001,0.001304941,0.832404451
-0.106312791,0.67657251,0.671667586
-0.0525166,-0.557292556,0.618134318
-0.178842585,0.096138993,0.849399739
-0.070835227,0.141304198,0.38822974
-0.037503203,3.42144214,1.183579303
-0.012139252,-0.630401786,4.229265176
-0.002747552,0.086591077,2.292213192
-0.156259942,-0.129277573,1.083941071
-0.078256192,0.28154976,0.560765929
-0.063709324,0.209191765,0.430476634
0.336545411,-0.070335338,0.310961948
0.215704826,0.012758203,0.268861026
0.114005766,-0.080312014,1.214423435
-0.034733885,-0.082276494,0.460985548
-0.018340077,0.014133484,-0.312842231
-0.009283608,-0.0002509,0.210996939
-0.181600714,-0.021610723,0.084448338
1.003107908,0.035161903,0.047241519
0.536253731,-0.071426817,-0.076703428
0.768103897,0.012250912,-0.714910766
0.268123279,0.367216259,-0.411581611
0.579370179,-0.061352605,0.555351425
0.054104481,0.275032937,0.141608202
0.000975034,-0.06575271,0.250417456
0.016477102,0.831005826,0.381301735
0.008718902,-0.165812138,0.518678451
-1.306601723,0.028547116,0.606698939
-0.825651765,0.333335636,0.301831558
-0.37752786,-0.071970427,-1.061091019
0.710629286,-0.17444368,-1.125214709
0.452120368,0.086656553,-0.628746972
0.236830008,-0.010239127,-0.579406243
0.175693408,0.453481038,0.088961427
-0.056789664,-0.077975968,0.21395809
-0.016753428,0.012914317,0.30561537
-0.253505399,-0.048733862,0.105651682
-0.13397292,0.709851152,0.314614615
-0.071025462,-0.327573138,0.489560462
0.014066054,0.030750037,0.362389033
0.004652825,0.015158419,0.273412656
0.176125494,0.230230771,-0.773986399
0.092317437,-0.039715167,0.564716489
0.107326658,0.055198646,0.163968067
0.105390599,-0.004898748,0.112932654
-0.568143473,0.141572355,-0.019258014
-0.300247853,0.276600701,-0.009563088
-0.158670709,0.500051136,-0.186216968
-0.131080069,-0.089593183,-0.421595664
-0.068695862,0.014091202,-0.418243456
-0.344671089,0.170047004,-0.175105972
-0.164947047,0.008062257,-0.035566853
-0.073923562,-0.009938207,-0.143101401
-0.036355165,-0.034989142,-0.171873983
1.499792223,0.127555937,0.455976449
0.796986196,-0.022000703,0.275062627
0.421222938,-0.148551952,-0.16859514
0.183343523,-0.001199505,-0.363790618
0.099517152,-0.040483423,-0.373167238
-0.036372816,0.060588052,-0.090275129
0.186497186,-0.009961405,-0.067035238
0.071395232,0.010226654,-0.045041929
0.038128996,0.005038267,0.094777064
0.808308988,0.08344949,0.004068387
0.58496225,-0.018146227,0.276459664
0.310570433,0.00326694,-0.673359877
0.426892188,-0.09690664,-0.692712129
0.225588257,-0.25998666,-0.084818221
0.169509512,0.044848295,0.441108725
0.089583287,-0.07170897,0.646175252
-0.026886385,0.018959571,-0.029698392
-0.006243189,-0.232998656,-0.141976046
0.078348887,-0.000786029,0.439512399
0.037260081,-0.010034739,0.295420149
-0.112366723,-0.026626231,0.087781983
-0.0741199,0.266037811,0.00212162
-1.386916329,-0.054761783,0.111287861
-0.755399721,-0.047434721,0.123631004
-0.523544838,0.073066752,-1.090768846
0.550504791,-0.014063134,-0.971621821
0.272907161,-1.168629061,0.163069057
-0.223088022,0.354501039,0.519500889
-0.051856199,0.012661776,0.30726027
-0.0279429,0.03773292,0.003779622
-0.014755816,-0.343159862,-0.075507844
